Dist,District,Bldg,Building,Beginning Grade 9 Students,Transferred In,Year 1,Year 2,Year 3,Year 4,Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
14005,Aberdeen,3857,Harbor High School,4,9,1,0,1,1,4,4,9,2,0,22.2,77.8,0.0
14005,Aberdeen,3476,J M Weatherwax High School,35,10,0,3,1,5,2,26,19,6,2,31.6,57.9,10.5
21226,Adna,2441,Adna Middle/High School,6,4,0,0,0,0,0,7,3,3,0,100.0,0.0,0.0
29103,Anacortes,2467,Anacortes High School,18,7,1,0,1,0,0,11,14,11,1,78.6,14.3,7.1
29103,Anacortes,5176,Cap Sante High School,0,5,0,0,0,3,1,0,5,0,1,0.0,80.0,20.0
29103,Anacortes,1849,Home Education Partnership,0,0,0,0,0,0,0,0,0,0,0,,,
29103,Anacortes,1525,Learning Opportunity Center,0,4,0,0,1,0,0,3,1,0,0,0.0,100.0,0.0
31016,Arlington,2523,Arlington High School,70,18,1,2,2,3,1,50,38,25,4,65.8,23.7,10.5
31016,Arlington,1714,Stillaguamish School,0,0,0,0,0,0,0,0,0,0,0,,,
31016,Arlington,4287,Weston High School,1,17,0,0,1,0,3,6,12,6,2,50.0,33.3,16.7
02420,Asotin-Anatone,2434,Asotin Jr Sr High,6,0,0,0,0,0,0,4,2,2,0,100.0,0.0,0.0
17408,Auburn,5037,Auburn Mountainview High School,27,15,0,1,0,3,3,20,22,15,0,68.2,31.8,0.0
17408,Auburn,4474,Auburn Riverside High School,31,16,0,0,1,1,2,23,24,19,1,79.2,16.7,4.2
17408,Auburn,2795,Auburn Senior High School,67,31,2,1,2,5,7,43,55,24,14,43.6,30.9,25.5
17408,Auburn,2702,West Auburn Senior High School,0,0,0,0,0,0,0,0,0,0,0,,,
18303,Bainbridge Island,2395,Bainbridge High School,50,1,0,0,0,0,1,18,33,29,3,87.9,3.0,9.1
18303,Bainbridge Island,1935,Eagle Harbor High School,4,7,0,0,1,0,1,5,6,4,0,66.7,33.3,0.0
27931,Bates Technical College,5950,Bates Technical High School,0,0,0,0,0,0,0,0,0,0,0,,,
06119,Battle Ground,2415,Battle Ground High School,57,38,0,0,0,3,2,39,56,43,8,76.8,8.9,14.3
06119,Battle Ground,1836,Cam Jr Sr High School,0,0,0,0,0,0,0,0,0,0,0,,,
06119,Battle Ground,1875,Homelink River,0,0,0,0,0,0,0,0,0,0,0,,,
06119,Battle Ground,1597,Homelink Schools,0,0,0,0,0,0,0,0,0,0,0,,,
06119,Battle Ground,4104,Prairie High School,27,14,0,0,0,2,0,24,17,15,0,88.2,11.8,0.0
06119,Battle Ground,4450,Summit View High School,0,17,0,0,0,2,3,9,8,1,2,12.5,62.5,25.0
17405,Bellevue,2701,Bellevue High School,33,6,0,0,0,0,0,11,28,28,0,100.0,0.0,0.0
17405,Bellevue,1832,Bsd Voc Ed/Career Educ Options,0,3,0,0,0,0,3,0,3,0,0,0.0,100.0,0.0
17405,Bellevue,5031,English Language Development,0,0,0,0,0,0,0,0,0,0,0,,,
17405,Bellevue,3588,Interlake Senior High School,39,13,0,0,0,0,4,19,33,15,14,45.5,12.1,42.4
17405,Bellevue,3522,International School,8,1,0,0,0,0,0,2,7,7,0,100.0,0.0,0.0
17405,Bellevue,1746,Kelsey Creek Home School Center,3,4,0,0,1,0,0,5,2,0,1,0.0,50.0,50.0
17405,Bellevue,3486,Newport Senior High School,34,5,0,0,0,0,2,14,25,21,2,84.0,8.0,8.0
17405,Bellevue,3744,Robinswood Middle and High School,14,9,0,1,0,0,0,20,3,2,0,66.7,33.3,0.0
17405,Bellevue,3282,Sammamish Senior High,49,10,0,0,0,0,2,16,43,40,1,93.0,4.7,2.3
37501,Bellingham,2553,Bellingham High School,49,16,1,2,5,2,4,21,44,20,10,45.5,31.8,22.7
37501,Bellingham,1694,Home Port Learning Center,0,0,0,0,0,0,0,0,0,0,0,,,
37501,Bellingham,1647,Options High School,2,4,0,0,1,1,1,3,3,0,0,0.0,100.0,0.0
37501,Bellingham,3576,Sehome High School,29,17,0,2,2,2,1,26,20,10,3,50.0,35.0,15.0
37501,Bellingham,4515,Squalicum High School,47,9,1,1,6,2,4,20,36,19,3,52.8,38.9,8.3
27403,Bethel,2807,Bethel High School,0,88,0,4,3,3,9,43,45,26,0,57.8,42.2,0.0
27403,Bethel,5174,Bethel Online Academy,0,8,0,0,0,2,4,2,6,0,0,0.0,100.0,0.0
27403,Bethel,4186,Cedarcrest Junior High,0,0,0,0,0,0,0,0,0,0,0,,,
27403,Bethel,1510,Challenger Secondary School,4,32,0,0,2,4,2,16,20,8,4,40.0,40.0,20.0
27403,Bethel,5033,Graham Kapowsin High School,0,95,0,1,3,3,2,45,50,41,0,82.0,18.0,0.0
27403,Bethel,3751,Spanaway Junior High,0,0,0,0,0,0,0,0,0,0,0,,,
27403,Bethel,4158,Spanaway Lake High School,1,98,0,1,2,7,9,46,53,31,3,58.5,35.8,5.7
20203,Bickleton,3392,Bickleton Elementary & High Schl,0,0,0,0,0,0,0,0,0,0,0,,,
37503,Blaine,3136,Blaine High School,24,5,0,1,0,0,0,10,19,16,2,84.2,5.3,10.5
37503,Blaine,1783,Timber Ridge,0,0,0,0,0,0,0,0,0,0,0,,,
18100,Bremerton,3109,Bremerton High School,43,26,0,0,0,2,3,24,45,33,7,73.3,11.1,15.6
18100,Bremerton,3883,Morgan Center School,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
18100,Bremerton,1737,Renaissance Alternative High School,2,4,0,0,0,0,2,2,4,2,0,50.0,50.0,0.0
18100,Bremerton,5134,Washington Youth Academy,0,0,0,0,0,0,0,0,0,0,0,,,
24111,Brewster,2800,Brewster High School,11,2,0,1,0,0,0,7,6,4,1,66.7,16.7,16.7
09075,Bridgeport,1900,Bridgeport Aurora High School,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
09075,Bridgeport,2788,Bridgeport High School,3,2,0,0,0,0,0,1,4,2,2,50.0,0.0,50.0
29100,Burlington-Edison,2362,Burlington Edison High School,33,9,0,0,4,2,0,20,22,16,0,72.7,27.3,0.0
29100,Burlington-Edison,1928,Burlington-Edison Alternative School,0,0,0,0,0,0,0,0,0,0,0,,,
06117,Camas,4567,Camas High School,51,13,1,1,1,0,0,34,30,24,3,80.0,10.0,10.0
06117,Camas,5104,Hayes Freedom High School,0,16,0,0,1,1,1,3,13,9,1,69.2,23.1,7.7
05401,Cape Flattery,3422,Clallam Bay High & Elementary,0,0,0,0,0,0,0,0,0,0,0,,,
